demo_points,sim_static_points,joint_angles
"[[137.98130798339844, 311.98944091796875], [182.00909423828125, 64.01080322265625], [362.97442626953125, 106.96549987792969], [342.9566345214844, 309.977294921875], [311.9756774902344, 402.997802734375], [379.000732421875, 348.00006103515625], [427.9864196777344, 422.0473327636719]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.498735608096524e-21, 0.13962400783532536, -0.5028138029233351, 0.20943951023931945, -8.410804737679767e-43, -1.545297019838833e-32]"
"[[137.9816131591797, 311.9893798828125], [182.01722717285156, 64.01316833496094], [363.0179748535156, 106.94740295410156], [342.965087890625, 309.9755554199219], [311.975830078125, 402.9977722167969], [379.0001220703125, 348.0000915527344], [427.98583984375, 422.04571533203125]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.24886204728687e-21, 0.1396239824515623, -0.5013999414371795, 0.20943951023931945, -3.926725307478638e-40, -1.3910488078565125e-32]"
"[[137.9818115234375, 311.9892578125], [182.0172119140625, 64.01316833496094], [362.9770812988281, 106.96390533447266], [342.9564208984375, 309.9772033691406], [311.9998474121094, 402.99969482421875], [379.00067138671875, 348.0000305175781], [427.9862365722656, 422.047119140625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-2.023975842558182e-21, 0.13962396839639635, -0.5001275263072132, 0.20943951023931945, -3.926725307478638e-40, -1.2521902070983026e-32]"
"[[137.98165893554688, 311.9893798828125], [182.01727294921875, 64.01316833496094], [363.018310546875, 106.94706726074219], [342.96490478515625, 309.9755859375], [311.975830078125, 402.99774169921875], [379.0002136230469, 348.00018310546875], [427.98577880859375, 422.04583740234375]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.8215782583023628e-21, 0.139623963528608, -0.49898240588091336, 0.20943951023931945, -5.885882558849117e-40, -1.1271874129436775e-32]"
"[[137.98184204101562, 311.9891052246094], [182.01724243164062, 64.01322174072266], [362.9778137207031, 106.9631576538086], [342.9562072753906, 309.9772033691406], [311.9997863769531, 402.99993896484375], [379.0003662109375, 347.9998779296875], [427.9864501953125, 422.04840087890625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.6394204324721222e-21, 0.139623875937438, -0.4979512545084707, 0.20943951023931945, -1.967568056108159e-40, -1.015428874456622e-32]"
"[[137.9815673828125, 311.9893493652344], [182.01722717285156, 64.01319885253906], [363.0184020996094, 106.94667053222656], [342.96435546875, 309.97540283203125], [311.9757080078125, 402.9978942871094], [378.9999084472656, 348.0002746582031], [427.98065185546875, 422.0474853515625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.4754783892249061e-21, 0.13962380513705566, -0.497023273097138, 0.20943951023931945, -3.926725307478639e-40, -9.147336381933382e-33]"
"[[137.9818115234375, 311.9892883300781], [182.01718139648438, 64.01319885253906], [362.97796630859375, 106.9627685546875], [342.955810546875, 309.97698974609375], [311.99951171875, 402.99981689453125], [379.0005798339844, 348.000244140625], [428.0050354003906, 421.9817199707031]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.327930550302412e-21, 0.13962374882593803, -0.49618814025090235, 0.20943951023931945, -2.9471466817933992e-40, -8.240101400996525e-33]"
"[[137.9814910888672, 311.98944091796875], [182.01715087890625, 64.01319885253906], [363.0181579589844, 106.94667053222656], [342.96435546875, 309.97528076171875], [311.9757385253906, 402.9975280761719], [379.0001220703125, 348.0002136230469], [428.0498046875, 421.9037780761719]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.1951374952721678e-21, 0.13962370474425387, -0.49543656553228066, 0.20943951023931945, -1.96756805610816e-40, -7.422734628463694e-33]"
"[[137.98170471191406, 311.9892883300781], [182.01705932617188, 64.01323699951172], [362.9778747558594, 106.96253967285156], [342.95538330078125, 309.976806640625], [311.9996643066406, 402.9994201660156], [379.00048828125, 348.0000305175781], [428.1059875488281, 421.7768859863281]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-1.0756237457449483e-21, 0.13962367095221026, -0.4947601882068451, 0.20943951023931945, -9.879894304229203e-41, -6.686357849376718e-33]"
"[[137.98147583007812, 311.9894714355469], [182.01695251464844, 64.01318359375], [363.0183410644531, 106.94608306884766], [342.9638977050781, 309.97528076171875], [311.97576904296875, 402.9972839355469], [379.0002136230469, 348.0001220703125], [428.1321105957031, 421.7217712402344]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-9.680613711704511e-22, 0.1396236457867699, -0.4941514841913232, 0.20943951023931945, -9.879894304229203e-41, -6.022961930934131e-33]"
"[[137.98158264160156, 311.9893798828125], [182.01695251464844, 64.0132064819336], [362.978271484375, 106.96209716796875], [342.95513916015625, 309.9768371582031], [311.99945068359375, 402.99945068359375], [379.0004577636719, 348.0001220703125], [428.1321716308594, 421.7213439941406]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-8.712552340534038e-22, 0.13962362782351773, -0.49360368231377105, 0.20943951023931945, -9.879894304229203e-41, -5.425328358243259e-33]"
"[[137.98167419433594, 311.9894104003906], [182.01681518554688, 64.01319885253906], [363.0184326171875, 106.946044921875], [342.96356201171875, 309.9751892089844], [311.9753112792969, 402.9971923828125], [379.0001220703125, 348.00018310546875], [428.1318054199219, 421.72174072265625]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-7.841297106480616e-22, 0.13962361584381977, -0.4931106889585994, 0.20943951023931945, -9.879894304229203e-41, -4.886949349683293e-33]"
"[[137.98184204101562, 311.9891357421875], [182.016845703125, 64.01319885253906], [362.9781188964844, 106.96217346191406], [342.95477294921875, 309.9766540527344], [311.9993896484375, 402.9993591308594], [379.00048828125, 348.0], [428.1321105957031, 421.7215270996094]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-7.057167395832537e-22, 0.13962360880651092, -0.4926670202561956, 0.20943951023931945, -9.879894304229203e-41, -4.4019580619282106e-33]"
"[[137.9713134765625, 311.986083984375], [184.939453125, 65.02639770507812], [366.7064514160156, 114.6510009765625], [345.865234375, 316.3511657714844], [314.6260681152344, 409.47320556640625], [383.6192932128906, 354.11212158203125], [428.1318664550781, 421.7216796875]]","[[144.0, 268.0], [205.0, 101.0], [341.0, 53.0], [359.0, 226.0], [348.0, 294.0], [368.0, 275.0], [351.0, 387.0]]","[-6.351450656249268e-22, 0.1396236058234643, -0.4922677410612165, 0.20943951023931945, -9.879894304229203e-41, -3.9650675866878605e-33]"
